phoneme,ID,en,ene,au,aue,ce,cee,in,ine,sa,sae,en.1,ene.1,ae,aee
AA,1,12,0,36,4,5,0,3,0,4,1,12,0,0,0
AE,2,8,0,51,3,2,0,5,0,6,0,8,0,0,0
AH,3,28,1,239,12,30,0,22,2,32,1,28,1,0,0
AO,4,5,0,35,2,1,0,4,1,8,1,5,0,0,0
AW,5,0,0,14,0,1,0,2,0,1,0,0,0,0,0
AY,6,3,0,32,4,2,0,1,0,4,0,3,0,0,0
B,7,3,0,39,1,3,0,1,0,6,0,3,0,0,0
CH,8,1,0,11,1,1,0,0,0,0,0,1,0,0,0
D,9,10,0,91,6,9,0,5,0,17,2,10,0,0,0
DH,10,9,0,61,4,11,0,6,0,7,0,9,0,0,0
EH,11,8,0,47,1,2,0,3,0,8,1,8,0,0,0
ER,12,7,0,54,4,3,0,3,1,9,1,7,0,0,0
EY,13,4,0,27,1,8,0,3,0,3,0,4,0,0,0
F,14,8,1,38,1,5,0,5,0,6,0,8,1,0,0
G,15,1,0,19,1,3,0,2,0,1,0,1,0,0,0
HH,16,8,0,26,0,3,0,3,0,6,0,8,0,0,0
IH,17,22,1,130,7,10,0,18,0,24,1,22,1,0,0
IY,18,8,0,57,3,7,0,3,0,8,2,8,0,0,0
JH,19,3,0,14,1,1,0,3,0,4,0,3,0,0,0
K,20,10,0,65,5,9,0,14,1,11,2,10,0,0,0
L,21,19,1,90,7,9,0,3,0,13,2,19,1,0,0
M,22,8,0,50,5,10,0,5,1,9,1,8,0,0,0
N,23,22,0,138,8,12,0,17,0,23,0,22,0,0,0
NG,24,3,0,22,1,1,0,4,0,3,0,3,0,0,0
OW,25,3,0,25,0,2,0,1,0,3,0,3,0,0,0
OY,26,0,0,2,0,0,0,1,0,0,0,0,0,0,0
P,27,7,1,48,4,5,0,2,0,7,1,7,1,0,0
R,28,10,0,101,6,18,0,8,1,12,3,10,0,0,0
S,29,14,0,86,6,10,0,15,2,16,0,14,0,0,0
SH,30,3,0,24,1,2,0,2,0,1,0,3,0,0,0
T,31,18,0,123,7,13,0,11,0,19,2,18,0,0,0
TH,32,1,0,7,0,0,0,1,0,0,0,1,0,0,0
UH,33,1,0,5,0,1,0,0,0,1,0,1,0,0,0
UW,34,3,0,27,0,4,0,1,0,3,0,3,0,0,0
V,35,3,0,38,2,5,0,3,1,2,0,3,0,0,0
W,36,4,0,21,3,2,0,8,0,7,0,4,0,0,0
Y,37,0,0,8,0,0,0,1,0,1,0,0,0,0,0
Z,38,11,0,66,3,5,0,9,0,12,0,11,0,0,0
ZH,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0
